"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"State"	"State Code"	"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	"New York"	"36"	"Bronx County, NY"	"36005"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	"New York"	"36"	"New York County, NY"	"36061"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Outpatient or ER"	"2"	18	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Decedent's home"	"4"	46	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Other"	"7"	20	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Florida"	"12"	"St. Johns County, FL"	"12109"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Michigan"	"26"	"Washtenaw County, MI"	"26161"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Michigan"	"26"	"Washtenaw County, MI"	"26161"	"Decedent's home"	"4"	48	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Michigan"	"26"	"Washtenaw County, MI"	"26161"	"Other"	"7"	23	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Other"	"7"	19	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"New Jersey"	"34"	"Union County, NJ"	"34039"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"New York"	"36"	"Bronx County, NY"	"36005"	"Medical Facility - Inpatient"	"1"	13	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"New York"	"36"	"Bronx County, NY"	"36005"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"New York"	"36"	"Bronx County, NY"	"36005"	"Decedent's home"	"4"	71	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"New York"	"36"	"Bronx County, NY"	"36005"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"New York"	"36"	"New York County, NY"	"36061"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Ohio"	"39"	"Butler County, OH"	"39017"	"Decedent's home"	"4"	20	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Decedent's home"	"4"	26	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Other"	"7"	15	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome"	"F19.2"	"Texas"	"48"	"Nueces County, TX"	"48355"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Decedent's home"	"4"	72	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Other"	"7"	40	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Medical Facility - Inpatient"	"1"	33	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Medical Facility - Outpatient or ER"	"2"	55	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Decedent's home"	"4"	138	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Other"	"7"	54	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Decedent's home"	"4"	37	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Other"	"7"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"Decedent's home"	"4"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Alameda County, CA"	"06001"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Medical Facility - Inpatient"	"1"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Medical Facility - Outpatient or ER"	"2"	50	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Decedent's home"	"4"	211	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Other"	"7"	149	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Orange County, CA"	"06059"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Orange County, CA"	"06059"	"Decedent's home"	"4"	29	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Orange County, CA"	"06059"	"Other"	"7"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Riverside County, CA"	"06065"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Sacramento County, CA"	"06067"	"Medical Facility - Outpatient or ER"	"2"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Sacramento County, CA"	"06067"	"Decedent's home"	"4"	30	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Sacramento County, CA"	"06067"	"Other"	"7"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"San Diego County, CA"	"06073"	"Medical Facility - Inpatient"	"1"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"San Diego County, CA"	"06073"	"Medical Facility - Outpatient or ER"	"2"	29	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"San Diego County, CA"	"06073"	"Decedent's home"	"4"	127	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"San Diego County, CA"	"06073"	"Other"	"7"	78	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Santa Clara County, CA"	"06085"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Ventura County, CA"	"06111"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Ventura County, CA"	"06111"	"Decedent's home"	"4"	35	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"California"	"06"	"Ventura County, CA"	"06111"	"Other"	"7"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Colorado"	"08"	"Denver County, CO"	"08031"	"Decedent's home"	"4"	29	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Colorado"	"08"	"Denver County, CO"	"08031"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Colorado"	"08"	"El Paso County, CO"	"08041"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Colorado"	"08"	"El Paso County, CO"	"08041"	"Decedent's home"	"4"	152	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Colorado"	"08"	"El Paso County, CO"	"08041"	"Other"	"7"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Colorado"	"08"	"Jefferson County, CO"	"08059"	"Decedent's home"	"4"	47	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Colorado"	"08"	"Jefferson County, CO"	"08059"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Colorado"	"08"	"Larimer County, CO"	"08069"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Colorado"	"08"	"Pueblo County, CO"	"08101"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	"Medical Facility - Outpatient or ER"	"2"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	"Medical Facility - Dead on Arrival"	"3"	14	Not Applicable	Not Applicable
